Serial No.,Category Name,"Item List ",Classified,"E-commerce "
249,,Fire Ladder,,
250,,Fire Axe,,
251,,Hand Mike,,
252,,Fire Accessories,,
253,Textile and Garments,Ear Plug,,
254,,Safety Shoes,,
255,,Safety Helmet,,
256,,Eye Wash Station,,
257,,Spill Kit,,
258,,Pantone Book,,
259,,Color Matching Cabinet,,
260,,Iron Table,,
261,,Testing Instrument,,
262,,GSM Cutter,,
263,,Button Pull Tester,,
264,,Textile Accessories,,
265,,Hand Pallet,,
266,,Needle Detector,,
267,,Textile Machinery,,
268,,Safety Belt,,
269,,Crockmeter,,
270,,Magnifying Glass,,
271,,Detergent,,
272,,Shipping Container,,
273,,Security Seal,,
274,"Meter & Scale ",Weight Machine,,
275,,Distance Meter,,
276,,Gas Leak Detector,,
277,,pH Meter,,
278,,DO Meter,,
279,,TDS Meter,,
280,,Moisture Meter,,
281,,Flow Meter,,
282,,Multimeter,,
283,,Lux Meter,,
284,,Sound Level Meter,,
285,,Tachometer,,
286,,Insulation Tester,,
287,,Anemometer,,
288,,Hygrometer,,
289,,Thickness Gauge,,
290,,Refractometer,,
291,,Caliper,,
292,,Other Meters,,
293,"GPS ",GPS Tracker,,
294,,GPS Navigation,,
295,,Chartplotter,,
296,,Fishfinder,,
297,,Compass,,
298,,Marine Radar,,
299,Electrical Equipment,IPS,,
300,,UPS,,
301,,Solar IPS,,
302,,Battery,,
303,,Solar Panel,,
304,,Light,,
305,,Generator,,
306,,Voltage Stabilizer,,
307,,Transformer,,
308,,Electrical Switch,,
309,,Module Board,,
310,,Surge Protector,,
311,,Calling Bell,,
312,,Multi Plug,,
313,,Electric Cable,,
314,,Lightning Arrester,,
315,,Turbine,,
316,Water Equipment,Life Jacket,,
317,,Fishing Rod,,
318,,Water Pump,,
319,,Water Tank,,
320,Agricultural,Grass Cutting Machine,,
321,,Power Tiller,,
322,,Milking Machine,,
323,,Rice Harvester,,
324,,Rice Transplanter,,
325,,Chainsaw,,
326,,Agricultural Machinery,,
327,,Pesticide,,
328,,Gardening Tools,,
329,Poultry Equipment,Incubator,,
330,,Incubator Temperature Controller,,
331,,Incubator Accessories,,
332,Farm,Animal,,
333,,Pet Accessories,,
334,,Cow,,
335,Machine & Tools,Heat Press Machine,,
336,,Blower Machine,,
337,,Cutting Plotter,,
338,,Lift,,
339,,Air Compressor,,
340,,Boat Engine,,
341,,Sealing Machine,,
342,,Exhaust Fan,,
343,,Chain Hoist,,
344,,Silicone Rubber,,
345,,Numbering Machine,,
346,,Electric Motor,,
347,,Ice Cream Machine,,
348,,Tool Box,,
349,"Survey Equipment ",Total Station,,
350,,Auto Level,,
351,,Construction Pipe,,
352,,Surveying Accessories,,
353,Travels,Air Ticket,,
354,,Bus Ticket,,
355,,Tour Package,,
356,,Umrah Package,,
357,,Hajj Package,,
358,,Hotel Booking,,
359,,Visa Processing,,
360,,Doctor Appointment,,
361,,Train Ticket,,
362,,Saint Martin Ship Ticket,,
363,,Jobs,,
364,Medical & Lab,Hearing Aid,,
365,,Nebulizer Machine,,
366,,Pulse Oximeter,,
367,,Oxygen Concentrator,,
368,,Oxygen Cylinder,,
369,,Face Mask,,
370,,PPE,,
371,,Hearing Aid Battery,,
372,,Thermometer,,
373,,Hand Gloves,,
374,,Safety Goggles,,
375,,Blood Pressure Machine,,
376,,Stethoscope,,
377,,Diabetes Machine,,
378,,Massager Machine,,
379,,Therapy Machine,,
380,,Hospital Bed,,
381,,Cervical Collar,,
382,,Suction Machine,,
383,,Wheelchair,,
384,,Walking Stick,,
385,,ECG Machine,,
386,,Patient Monitor,,
387,,Commode Chair,,
388,,Ultrasonography Machine,,
389,,Alcohol Pad,,
390,,X-Ray Machine,,
391,,Surgical Light,,
392,,Disinfection Chamber,,
393,,Spray Machine,,
394,,Dental Treatment,,
395,,Microscope,,
396,,Sanitizer,,
397,,Biochemistry Analyzer,,
398,,CPAP Machine,,
399,,Anesthesia Machine,,
400,,Hot Water Bag,,
401,,First Aid,,
402,,Stretcher,,
403,,Labratory Equipment,,
404,,Medical Equipment,,
405,,Dental Instrument,,
406,,Condom,,
407,,Ice Box,,
408,Food,Fruits,,
409,,Sweet,,
410,,Mango,,
411,,Khejur,,
412,,Nuts,,
413,,Herbs,,
414,,Honey,,
415,,Masala,,
416,,Cooking Oil,,
417,,Beverage,,
418,,Gur,,
419,,Ghee,,
420,,Cheese,,
421,,Fish,,
422,,Biscuit,,
423,,Chocolate,,
424,Health Care,Gym Equipment,,
425,,Herbal Medicine,,
426,,Anti Snoring Aid,,
427,,Electronic Cigarette,,
428,Hair Care,Trimmer,,
429,,Hair Treatment,,
430,,Hair Straightener,,
431,,Hair Dryer,,
432,,Hair Shampoo,,
433,Cosmetic Products,Soap,,
434,,Essential,,
435,,Oil,,
436,,Makeup Box,,
437,,Mole Removal,,
438,,Aloe Vera Gel,,
439,,Skin Care Kit,,
440,,Face Wash,,
441,,Lipstick,,
442,,Peel Off Mask,,
443,Watch,Smart Watch,,
444,,Hand Watch,,
445,,Wall Clock,,
446,,Stopwatch,,
447,Lifestyle,Umbrella,,
448,,Raincoat,,
449,,Jewelry,,
450,,Clothing,,
451,,Sunglass,,
452,,Wallet,,
453,,Card Holder,,
454,,Bag,,
455,,Gift Set,,
456,,Perfume,,
457,,Cap,,
458,,Towel,,
459,,Belt,,
460,,Lighter,,
461,,Nail Cutter,,
462,Kids and Mom,Sports,,
463,,Drone,,
464,,Baby Feeder,,
465,,Shoes,,
466,,Dolna,,
467,,Diaper,,
468,,Toy,,
469,,Swimming Pool,,
470,,Baby Food,,
471,,Tent,,
472,,Hanger,,
473,,Toothbrush,,
474,,Baby Car,,
475,,Baby Stroller,,
476,,Baby Walker,,
477,Party Supplies,"Invitation Card
",,
478,"Furniture ",Bed,,
479,,Bedside Table,,
480,,Air Bed,,
481,,Dining Table,,
482,,Dining Chair,,
483,,Sofa Set,,
484,,Center Table,,
485,,Divan,,
486,,Dressing Table,,
487,,Showcase,,
488,,Shelf,,
489,,Wardrobe,,
490,,Almirah,,
491,,Trolley,,
492,,Stool,,
493,,Furniture Set,,
494,,Kitchen Furniture,,
495,,Shoe Rack,,
496,Office Furniture,Office Table,,
497,,Chair,,
498,,Display Rack,,
499,Bedding,Bed Sheet,,
500,,Mosquito Net,,
501,,Mattress,,
502,,Pillow,,
503,,Cushion,,
504,,Sofa Foam,,
505,,Blanket,,
506,Decoration,Curtain,,
507,,Floor Mat,,
508,,Interior Design,,
509,,Showpiece,,
510,,Mirror,,
